Code du département;Libellé du département;Code INSEE;Nom de la commune;Numéro de la fiche équipement;Nombre d'équipements identiques;Activité code;Activité libellé;Activité praticable;Activité pratiquée;Dans salle spécialisable;Niveau de l'activité - Classif.;localisation
44;Loire-Atlantique;44083;Limouzinière;285109;1;2901;Football / Football en salle (Futsal);Oui;Oui;Non;Loisir - Entretien - Remise en forme;46.9872257466, -1.64166009462
44;Loire-Atlantique;44083;Limouzinière;285109;1;3701;Handball / Mini hand / Handball de plage;Oui;Oui;Non;Loisir - Entretien - Remise en forme;46.9872257466, -1.64166009462
44;Loire-Atlantique;44083;Limouzinière;285109;1;8801;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;Oui;Oui;Non;Loisir - Entretien - Remise en forme;46.9872257466, -1.64166009462
44;Loire-Atlantique;44083;Limouzinière;285110;1;2202;Bicross (BMX);Oui;Oui;Non;Loisir - Entretien - Remise en forme;46.9872257466, -1.64166009462
44;Loire-Atlantique;44018;Bouaye;285261;1;1101;Basket-Ball;Oui;Oui;Non;Scolaire;47.1473396882, -1.6725437059
44;Loire-Atlantique;44018;Bouaye;285263;1;3701;Handball / Mini hand / Handball de plage;Oui;Oui;Non;Scolaire;47.1473396882, -1.6725437059
44;Loire-Atlantique;44018;Bouaye;285264;1;8901;Activités de forme et de santé;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.1473396882, -1.6725437059
44;Loire-Atlantique;44100;Monnières;285446;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.1202035218, -1.34924956417
44;Loire-Atlantique;44100;Monnières;285446;1;5501;Pêche au coup en eau douce;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.1202035218, -1.34924956417
44;Loire-Atlantique;44014;Bignon;285596;1;2402;Autres Danses;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.1004098153, -1.50942309254
44;Loire-Atlantique;44064;Gorges;286305;1;4903;Motocross / Enduro;Oui;Oui;Non;Compétition départementale;47.1044539402, -1.31077198119
44;Loire-Atlantique;44020;Bouguenais;286669;1;6302;Patinage de course;Oui;Oui;Non;Compétition régionale;47.1709061678, -1.61739752858
44;Loire-Atlantique;44035;Chapelle-sur-Erdre;286794;1;2901;Football / Football en salle (Futsal);Oui;Oui;Non;Compétition départementale;47.3035629617, -1.56078596697
44;Loire-Atlantique;44007;Avessac;286976;1;2601;Equitation;Oui;Oui;Non;Entrainement;47.635436304, -1.97050871505
44;Loire-Atlantique;44007;Avessac;286976;1;2604;Saut d'obstacle;Oui;Oui;Non;Entrainement;47.635436304, -1.97050871505
44;Loire-Atlantique;44007;Avessac;286980;1;2603;Dressage;Oui;Oui;Non;Entrainement;47.635436304, -1.97050871505
44;Loire-Atlantique;44007;Avessac;286981;1;2603;Dressage;Oui;Oui;Non;Entrainement;47.635436304, -1.97050871505
44;Loire-Atlantique;44009;Basse-Goulaine;287154;1;3501;Gymnastique volontaire;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.2120137336, -1.46246852595
44;Loire-Atlantique;44009;Basse-Goulaine;287155;1;3401;Gymnastique Artistique;Oui;Oui;Oui;Compétition départementale;47.2120137336, -1.46246852595
44;Loire-Atlantique;44009;Basse-Goulaine;287155;1;8201;Tir à l'arc;Oui;Oui;Non;Entrainement;47.2120137336, -1.46246852595
44;Loire-Atlantique;44009;Basse-Goulaine;287156;2;1101;Basket-Ball;Oui;Oui;Non;Scolaire;47.2120137336, -1.46246852595
44;Loire-Atlantique;44009;Basse-Goulaine;287157;2;7901;Tennis;Oui;Oui;Non;Compétition départementale;47.2120137336, -1.46246852595
44;Loire-Atlantique;44009;Basse-Goulaine;287158;1;6303;Roller acrobatique;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.2120137336, -1.46246852595
44;Loire-Atlantique;44092;Massérac;287305;1;1101;Basket-Ball;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6758102411, -1.90458344966
44;Loire-Atlantique;44092;Massérac;287305;1;2901;Football / Football en salle (Futsal);Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6758102411, -1.90458344966
44;Loire-Atlantique;44092;Massérac;287305;1;3701;Handball / Mini hand / Handball de plage;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6758102411, -1.90458344966
44;Loire-Atlantique;44092;Massérac;287305;1;8801;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6758102411, -1.90458344966
44;Loire-Atlantique;44018;Bouaye;287404;1;2605;Attelage;Oui;Oui;Non;Compétition régionale;47.1473396882, -1.6725437059
44;Loire-Atlantique;44072;Herbignac;287409;2;2601;Equitation;Oui;Oui;Non;Entrainement;47.4472411995, -2.31338629512
44;Loire-Atlantique;44072;Herbignac;287409;2;2603;Dressage;Oui;Oui;Non;Entrainement;47.4472411995, -2.31338629512
44;Loire-Atlantique;44072;Herbignac;287409;2;2604;Saut d'obstacle;Oui;Oui;Non;Entrainement;47.4472411995, -2.31338629512
44;Loire-Atlantique;44072;Herbignac;287410;1;2601;Equitation;Oui;Oui;Non;Entrainement;47.4472411995, -2.31338629512
44;Loire-Atlantique;44072;Herbignac;287410;1;2603;Dressage;Oui;Oui;Non;Entrainement;47.4472411995, -2.31338629512
44;Loire-Atlantique;44072;Herbignac;287410;1;2605;Attelage;Oui;Oui;Non;Entrainement;47.4472411995, -2.31338629512
44;Loire-Atlantique;44072;Herbignac;287410;1;2608;Randonnée équestre;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.4472411995, -2.31338629512
44;Loire-Atlantique;44072;Herbignac;287411;1;2601;Equitation;Oui;Oui;Non;Entrainement;47.4472411995, -2.31338629512
44;Loire-Atlantique;44036;Châteaubriant;287463;1;701;Badminton, Jeu de volant;Oui;Oui;Non;Scolaire;47.7221583524, -1.38664809937
44;Loire-Atlantique;44036;Châteaubriant;287463;1;1101;Basket-Ball;Oui;Oui;Non;Compétition départementale;47.7221583524, -1.38664809937
44;Loire-Atlantique;44036;Châteaubriant;287463;1;2901;Football / Football en salle (Futsal);Oui;Oui;Non;Compétition départementale;47.7221583524, -1.38664809937
44;Loire-Atlantique;44036;Châteaubriant;287463;1;3701;Handball / Mini hand / Handball de plage;Oui;Oui;Non;Entrainement;47.7221583524, -1.38664809937
44;Loire-Atlantique;44036;Châteaubriant;287463;1;6304;Hockey sur patins en ligne / Hockey sur patins;Oui;Oui;Non;Compétition nationale;47.7221583524, -1.38664809937
44;Loire-Atlantique;44036;Châteaubriant;287463;1;7801;Tai chi chuan / Chi gong;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.7221583524, -1.38664809937
44;Loire-Atlantique;44036;Châteaubriant;287463;1;8801;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;Oui;Oui;Non;Scolaire;47.7221583524, -1.38664809937
44;Loire-Atlantique;44081;Legé;287470;3;501;Saut;Oui;Oui;Non;Entrainement;46.9003706986, -1.57917124705
44;Loire-Atlantique;44001;Abbaretz;287645;2;1101;Basket-Ball;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5560384833, -1.49327262094
44;Loire-Atlantique;44001;Abbaretz;287645;2;7901;Tennis;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5560384833, -1.49327262094
44;Loire-Atlantique;44008;Barbechat;287664;1;1001;Fosse universelle;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.2820568846, -1.29827542127
44;Loire-Atlantique;44039;Cheix-en-Retz;287682;1;1001;Fosse universelle;Oui;Oui;Non;Compétition départementale;47.1811170912, -1.79840995834
44;Loire-Atlantique;44026;Carquefou;287878;1;1301;Bowling;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.3017191833, -1.47277200095
44;Loire-Atlantique;44026;Carquefou;287880;1;1201;Billard (Français (carambole),Snooker,Anglais,Américain);Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.3017191833, -1.47277200095
44;Loire-Atlantique;44026;Carquefou;287882;1;3701;Handball / Mini hand / Handball de plage;Oui;Oui;Non;Scolaire;47.3017191833, -1.47277200095
44;Loire-Atlantique;44067;Guémené-Penfao;287895;1;8703;Deltaplane;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6278891238, -1.83077595154
44;Loire-Atlantique;44067;Guémené-Penfao;287895;1;8704;Parapente;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6278891238, -1.83077595154
44;Loire-Atlantique;44067;Guémené-Penfao;287897;1;8703;Deltaplane;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6278891238, -1.83077595154
44;Loire-Atlantique;44067;Guémené-Penfao;287897;1;8704;Parapente;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6278891238, -1.83077595154
44;Loire-Atlantique;44048;Couffé;287916;1;8703;Deltaplane;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.3885628195, -1.29271841264
44;Loire-Atlantique;44048;Couffé;287916;1;8704;Parapente;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.3885628195, -1.29271841264
44;Loire-Atlantique;44092;Massérac;287929;1;8703;Deltaplane;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6758102411, -1.90458344966
44;Loire-Atlantique;44092;Massérac;287929;1;8704;Parapente;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6758102411, -1.90458344966
44;Loire-Atlantique;44077;Joué-sur-Erdre;288249;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5092437538, -1.42943494948
