Code du département;Département;Code INSEE;Nom de la commune;Numéro de l'installation;Nom usuel de l'installation;Numero de la voie;Nom de la voie;Nom du lieu dit;Code postal;Installation particulière;Multi commune;Nombre de couvert;Nombre de lit;Présence d'un internet;Aucun aménagement d'accessibilité;Accessibilité handicapés à mobilité réduite;Accessibilité handicapés sensoriels;Nombre total de place de parking;Nombre total de place de parking handicapés;Gardiennée avec ou sans logement de gardien;Emprise foncière en m2;Desserte métro;Desserte bus;Desserte Tram;Desserte train;Desserte bateau;Desserte autre;Date de création de la fiche installation;Date de mise à jour de la fiche installation;Nombre total de fiches équipements;Nombre total d'équipements sportifs;localisation1;localisation2;localisation
72;Sarthe;72095;Coulaines;720950002;"Ecole Primaire ""Molière""";;Rue Molière;;72190;Etablissement scolaire;Non;0;0;Non;Non;Oui;Non;150;3;Non;;Non;Oui;Non;Non;Non;Non;2005-12-21;2017-10-05;1;1;48.021662, 0.199811;48.0332041252, 0.211301706062;48.021662, 0.199811
72;Sarthe;72095;Coulaines;720950009;Plaine Aux Fées;;Rue Moscou;;72190;Non;Non;0;0;Non;Oui;Non;Non;10;0;Non;1000;Non;Oui;Non;Non;Non;Non;2005-02-08;2017-10-05;1;1;48.022146, 0.208637;48.0332041252, 0.211301706062;48.022146, 0.208637
72;Sarthe;72095;Coulaines;720950010;Complexe Sportif des 3 Vallées;;Rue Ponceau;;72190;Complexe sportif;Non;10;0;Non;Non;Oui;Non;30;1;Sans logement de gardien;8000;Non;Oui;Non;Non;Non;Non;2005-02-08;2017-10-05;7;17;48.025946, 0.214931;48.0332041252, 0.211301706062;48.025946, 0.214931
72;Sarthe;72095;Coulaines;720950016;Gymnase Camus;;Rue de Vienne;;72190;Non;Non;0;0;Non;Non;Oui;Non;20;2;Non;900;Non;Oui;Non;Non;Non;Non;2015-04-22;2017-06-11;1;1;48.024542, 0.20818;48.0332041252, 0.211301706062;48.024542, 0.20818
72;Sarthe;72096;Coulans-sur-Gée;720960001;Stade de Football;;Rue de Conlie;;72550;Non;Non;0;0;Non;Non;Oui;Non;10;0;Non;10107;Non;Non;Non;Non;Non;Non;2005-02-08;2017-10-05;1;1;48.02055, 0.011776;48.0220764526, 0.0172606870942;48.02055, 0.011776
72;Sarthe;72096;Coulans-sur-Gée;720960003;Salle Polyvalente;29;Rue Nationale;;72550;Non;Non;0;0;Non;Non;Oui;Non;20;0;Non;;Non;Non;Non;Non;Non;Non;2005-08-24;2017-10-05;1;1;48.020097, 0.009837;48.0220764526, 0.0172606870942;48.020097, 0.009837
44;Loire-Atlantique;44009;Basse-Goulaine;440090009;Ecole de Musique Point d'Orgue;;Square de Théley;;44115;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Oui;Non;Non;Non;Non;2011-04-28;2015-07-05;2;2;47.217483, -1.465447;47.2120137336, -1.46246852595;47.217483, -1.465447
44;Loire-Atlantique;44012;Bernerie-en-Retz;440120009;Square Thibault;;Avenue Guitteny;;44760;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Oui;Non;Non;Non;Non;2005-11-22;2015-06-16;1;2;47.081687, -2.037009;47.0856704602, -2.03170205961;47.081687, -2.037009
44;Loire-Atlantique;44010;Batz-sur-Mer;440100014;Espace Multisports;;Rue Alain Boutle;;44740;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Oui;Non;Non;Non;Non;2007-10-30;2015-06-16;2;2;47.277287, -2.474436;47.2844487793, -2.474374647;47.277287, -2.474436
44;Loire-Atlantique;44015;Blain;440150006;Stade de St Omer;;Cité du Bois Neil;;44130;Non;Non;0;0;Non;Oui;Non;Non;100;0;Non;;Non;Non;Non;Non;Non;Non;2005-09-15;2015-09-10;4;4;47.475986, -1.856288;47.4628210409, -1.76789479614;47.475986, -1.856288
